Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
DJ Chark,JAX,BUF,2018-11-25,2018,12,Out,Quadricep,,
DJ Chark,JAX,IND,2018-12-02,2018,13,Out,Quadricep,,
DJ Chark,JAX,TEN,2018-12-06,2018,14,Out,Quadricep,,
DJ Chark,JAX,WAS,2018-12-16,2018,15,Out,Quadricep,,
DJ Chark,JAX,MIA,2018-12-23,2018,16,Out,Quadricep,,
DJ Chark,JAX,OAK,2019-12-15,2019,15,Out,Ankle,,
DJ Chark,JAX,ATL,2019-12-22,2019,16,Questionable,Ankle,,
DJ Chark,JAX,MIA,2020-09-24,2020,3,Questionable,Chest,,
DJ Chark,JAX,DET,2020-10-18,2020,6,Questionable,Ankle,,
DJ Chark,JAX,CLE,2020-11-29,2020,12,Out,Ribs,,
DJ Chark,JAX,IND,2021-01-03,2020,17,Out,Shin,,
