Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Howard Wilson,CLE,PIT,2017-09-10,2017,1,Injured Reserve,Knee,,
Howard Wilson,CLE,BAL,2017-09-17,2017,2,Injured Reserve,Knee,,
Howard Wilson,CLE,IND,2017-09-24,2017,3,Injured Reserve,Knee,,
Howard Wilson,CLE,CIN,2017-10-01,2017,4,Injured Reserve,Knee,,
Howard Wilson,CLE,NYJ,2017-10-08,2017,5,Injured Reserve,Knee,,
Howard Wilson,CLE,HOU,2017-10-15,2017,6,Injured Reserve,Knee,,
Howard Wilson,CLE,TEN,2017-10-22,2017,7,Injured Reserve,Knee,,
Howard Wilson,CLE,MIN,2017-10-29,2017,8,Injured Reserve,Knee,,
Howard Wilson,CLE,DET,2017-11-12,2017,10,Injured Reserve,Knee,,
Howard Wilson,CLE,JAX,2017-11-19,2017,11,Injured Reserve,Knee,,
Howard Wilson,CLE,CIN,2017-11-26,2017,12,Injured Reserve,Knee,,
Howard Wilson,CLE,LAC,2017-12-03,2017,13,Injured Reserve,Knee,,
Howard Wilson,CLE,GNB,2017-12-10,2017,14,Injured Reserve,Knee,,
Howard Wilson,CLE,BAL,2017-12-17,2017,15,Injured Reserve,Knee,,
Howard Wilson,CLE,CHI,2017-12-24,2017,16,Injured Reserve,Knee,,
Howard Wilson,CLE,PIT,2017-12-31,2017,17,Injured Reserve,Knee,,
Howard Wilson,CLE,PIT,2018-09-09,2018,1,Injured Reserve,Foot,,
Howard Wilson,CLE,NOR,2018-09-16,2018,2,Injured Reserve,Foot,,
Howard Wilson,CLE,NYJ,2018-09-20,2018,3,Injured Reserve,Foot,,
Howard Wilson,CLE,OAK,2018-09-30,2018,4,Injured Reserve,Foot,,
Howard Wilson,CLE,BAL,2018-10-07,2018,5,Injured Reserve,Foot,,
Howard Wilson,CLE,LAC,2018-10-14,2018,6,Injured Reserve,Foot,,
Howard Wilson,CLE,TAM,2018-10-21,2018,7,Injured Reserve,Foot,,
Howard Wilson,CLE,PIT,2018-10-28,2018,8,Injured Reserve,Foot,,
Howard Wilson,CLE,KAN,2018-11-04,2018,9,Injured Reserve,Foot,,
Howard Wilson,CLE,ATL,2018-11-11,2018,10,Injured Reserve,Foot,,
Howard Wilson,CLE,CIN,2018-11-25,2018,12,Injured Reserve,Foot,,
Howard Wilson,CLE,HOU,2018-12-02,2018,13,Injured Reserve,Foot,,
Howard Wilson,CLE,CAR,2018-12-09,2018,14,Injured Reserve,Foot,,
Howard Wilson,CLE,DEN,2018-12-15,2018,15,Injured Reserve,Foot,,
Howard Wilson,CLE,CIN,2018-12-23,2018,16,Injured Reserve,Foot,,
Howard Wilson,CLE,BAL,2018-12-30,2018,17,Injured Reserve,Foot,,
