Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Terrell Suggs,BAL,NYJ,2016-10-23,2016,7,Doubtful,biceps,,
Terrell Suggs,BAL,PIT,2016-11-06,2016,9,Questionable,biceps,,
Terrell Suggs,BAL,MIA,2017-10-26,2017,8,Questionable,Knee,,
Terrell Suggs,BAL,HOU,2017-11-27,2017,12,Questionable,Ankle,,
Terrell Suggs,BAL,PIT,2018-09-30,2018,4,Questionable,Knee,,
Terrell Suggs,BAL,CLE,2018-12-30,2018,17,Questionable,Hamstring,,
Terrell Suggs,ARI,CIN,2019-10-06,2019,5,Questionable,Back,,
Terrell Suggs,ARI,ATL,2019-10-13,2019,6,Questionable,Back,,
Terrell Suggs,ARI,TAM,2019-11-10,2019,10,Questionable,Hamstring,,
Terrell Suggs,ARI,SFO,2019-11-17,2019,11,Questionable,Hamstring,,
