Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Anthony Walker,IND,ARI,2017-09-17,2017,2,Out,Hamstring,,
Anthony Walker,IND,CLE,2017-09-24,2017,3,Out,Hamstring,,
Anthony Walker,IND,SEA,2017-10-01,2017,4,Out,Hamstring,,
Anthony Walker,IND,TEN,2017-10-16,2017,6,Out,Hamstring,,
Anthony Walker,IND,JAX,2017-10-22,2017,7,Out,Hamstring,,
Anthony Walker,IND,HOU,2018-09-30,2018,4,Questionable,Groin,,
Anthony Walker,IND,NYG,2018-12-23,2018,16,Questionable,Shoulder,,
Anthony Walker,IND,KAN,2019-10-06,2019,5,Questionable,Shoulder,,
Anthony Walker,IND,CLE,2020-10-11,2020,5,Questionable,Ankle,,
Anthony Walker,IND,TEN,2020-11-29,2020,12,Questionable,Ribs,,
