Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Austin Fort,DEN,OAK,2019-09-09,2019,1,Injured Reserve,,,
Austin Fort,DEN,CHI,2019-09-15,2019,2,Injured Reserve,,,
Austin Fort,DEN,GNB,2019-09-22,2019,3,Injured Reserve,,,
Austin Fort,DEN,JAX,2019-09-29,2019,4,Injured Reserve,,,
Austin Fort,DEN,LAC,2019-10-06,2019,5,Injured Reserve,,,
Austin Fort,DEN,TEN,2019-10-13,2019,6,Injured Reserve,,,
Austin Fort,DEN,KAN,2019-10-17,2019,7,Injured Reserve,,,
Austin Fort,DEN,IND,2019-10-27,2019,8,Injured Reserve,,,
Austin Fort,DEN,CLE,2019-11-03,2019,9,Injured Reserve,,,
Austin Fort,DEN,MIN,2019-11-17,2019,11,Injured Reserve,,,
Austin Fort,DEN,BUF,2019-11-24,2019,12,Injured Reserve,,,
Austin Fort,DEN,LAC,2019-12-01,2019,13,Injured Reserve,,,
Austin Fort,DEN,HOU,2019-12-08,2019,14,Injured Reserve,,,
Austin Fort,DEN,KAN,2019-12-15,2019,15,Injured Reserve,,,
Austin Fort,DEN,DET,2019-12-22,2019,16,Injured Reserve,,,
Austin Fort,DEN,OAK,2019-12-29,2019,17,Injured Reserve,,,
Austin Fort,DEN,LVR,2020-11-15,2020,10,Injured Reserve,,,
