Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Corey Robinson,DET,IND,2016-09-11,2016,1,Questionable,ankle,,
Corey Robinson,DET,WAS,2016-10-23,2016,7,Out,ankle,,
Corey Robinson,DET,HOU,2016-10-30,2016,8,Questionable,ankle,,
Corey Robinson,DET,ARI,2017-09-10,2017,1,Questionable,Foot,,
Corey Robinson,DET,NYG,2017-09-18,2017,2,Injured Reserve,Foot,,
Corey Robinson,DET,ATL,2017-09-24,2017,3,Injured Reserve,Foot,,
Corey Robinson,DET,MIN,2017-10-01,2017,4,Injured Reserve,Foot,,
Corey Robinson,DET,CAR,2017-10-08,2017,5,Injured Reserve,Foot,,
Corey Robinson,DET,NOR,2017-10-15,2017,6,Injured Reserve,Foot,,
Corey Robinson,DET,PIT,2017-10-29,2017,8,Injured Reserve,Foot,,
Corey Robinson,DET,GNB,2017-11-06,2017,9,Injured Reserve,Foot,,
Corey Robinson,DET,TAM,2017-12-10,2017,14,Questionable,Foot,,
