Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Stefan McClure,WAS,PHI,2017-10-23,2017,7,Questionable,Knee,,
Stefan McClure,WAS,DAL,2017-10-29,2017,8,Questionable,Knee,,
Stefan McClure,WAS,SEA,2017-11-05,2017,9,Injured Reserve,Hamstring,,
Stefan McClure,WAS,MIN,2017-11-12,2017,10,Injured Reserve,Hamstring,,
Stefan McClure,WAS,NOR,2017-11-19,2017,11,Injured Reserve,Hamstring,,
Stefan McClure,WAS,NYG,2017-11-23,2017,12,Injured Reserve,Hamstring,,
Stefan McClure,WAS,DAL,2017-11-30,2017,13,Injured Reserve,Hamstring,,
Stefan McClure,WAS,LAC,2017-12-10,2017,14,Injured Reserve,Hamstring,,
Stefan McClure,WAS,ARI,2017-12-17,2017,15,Injured Reserve,Hamstring,,
Stefan McClure,WAS,DEN,2017-12-24,2017,16,Injured Reserve,Hamstring,,
Stefan McClure,WAS,NYG,2017-12-31,2017,17,Injured Reserve,Hamstring,,
