Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Olivier Vernon,NYG,TAM,2017-10-01,2017,4,Questionable,Ankle,,
Olivier Vernon,NYG,LAC,2017-10-08,2017,5,Questionable,Ankle,,
Olivier Vernon,NYG,DEN,2017-10-15,2017,6,Out,Ankle,,
Olivier Vernon,NYG,SEA,2017-10-22,2017,7,Out,Ankle,,
Olivier Vernon,NYG,LAR,2017-11-05,2017,9,Out,Ankle,,
Olivier Vernon,NYG,SFO,2017-11-12,2017,10,Questionable,Ankle,,
Olivier Vernon,NYG,WAS,2017-11-23,2017,12,Questionable,Shoulder,,
Olivier Vernon,NYG,JAX,2018-09-09,2018,1,Out,Ankle,,
Olivier Vernon,NYG,DAL,2018-09-16,2018,2,Out,Ankle,,
Olivier Vernon,NYG,HOU,2018-09-23,2018,3,Out,Ankle,,
Olivier Vernon,NYG,NOR,2018-09-30,2018,4,Out,Ankle,,
Olivier Vernon,NYG,CAR,2018-10-07,2018,5,Out,Ankle,,
Olivier Vernon,CLE,BUF,2019-11-10,2019,10,Out,Knee,,
Olivier Vernon,CLE,PIT,2019-11-14,2019,11,Out,Knee,,
Olivier Vernon,CLE,MIA,2019-11-24,2019,12,Out,Knee,,
Olivier Vernon,CLE,PIT,2019-12-01,2019,13,Questionable,Knee,,
Olivier Vernon,CLE,CIN,2019-12-08,2019,14,Questionable,Knee,,
Olivier Vernon,CLE,ARI,2019-12-15,2019,15,Out,Knee,,
Olivier Vernon,CLE,BAL,2019-12-22,2019,16,Questionable,Knee,,
Olivier Vernon,CLE,CIN,2019-12-29,2019,17,Questionable,Knee,,
Olivier Vernon,CLE,CIN,2020-09-17,2020,2,Questionable,Abdomen,,
Olivier Vernon,CLE,WAS,2020-09-27,2020,3,Out,Abdomen,,
Olivier Vernon,CLE,DAL,2020-10-04,2020,4,Questionable,Abdomen,,
Olivier Vernon,CLE,PIT,2020-10-18,2020,6,Questionable,Groin,,
