Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Corey Fuller,DET,IND,2016-09-11,2016,1,Injured Reserve,Foot,,
Corey Fuller,DET,TEN,2016-09-18,2016,2,Injured Reserve,Foot,,
Corey Fuller,DET,GNB,2016-09-25,2016,3,Injured Reserve,Foot,,
Corey Fuller,DET,CHI,2016-10-02,2016,4,Injured Reserve,Foot,,
Corey Fuller,DET,PHI,2016-10-09,2016,5,Injured Reserve,Foot,,
Corey Fuller,DET,LAR,2016-10-16,2016,6,Injured Reserve,Foot,,
Corey Fuller,DET,WAS,2016-10-23,2016,7,Injured Reserve,Foot,,
Corey Fuller,DET,HOU,2016-10-30,2016,8,Injured Reserve,Foot,,
Corey Fuller,DET,MIN,2016-11-06,2016,9,Injured Reserve,Foot,,
Corey Fuller,DET,JAX,2016-11-20,2016,11,Injured Reserve,Foot,,
Corey Fuller,DET,MIN,2016-11-24,2016,12,Injured Reserve,Foot,,
Corey Fuller,DET,NOR,2016-12-04,2016,13,Injured Reserve,Foot,,
Corey Fuller,DET,CHI,2016-12-11,2016,14,Injured Reserve,Foot,,
Corey Fuller,DET,NYG,2016-12-18,2016,15,Injured Reserve,Foot,,
Corey Fuller,DET,DAL,2016-12-26,2016,16,Injured Reserve,Foot,,
Corey Fuller,DET,GNB,2017-01-01,2016,17,Injured Reserve,Foot,,
Corey Fuller,NOR,MIN,2017-09-11,2017,1,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,NWE,2017-09-17,2017,2,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,CAR,2017-09-24,2017,3,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,MIA,2017-10-01,2017,4,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,DET,2017-10-15,2017,6,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,GNB,2017-10-22,2017,7,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,CHI,2017-10-29,2017,8,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,TAM,2017-11-05,2017,9,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,BUF,2017-11-12,2017,10,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,WAS,2017-11-19,2017,11,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,LAR,2017-11-26,2017,12,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,CAR,2017-12-03,2017,13,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,ATL,2017-12-07,2017,14,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,NYJ,2017-12-17,2017,15,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,ATL,2017-12-24,2017,16,Injured Reserve,Undisclosed,,
Corey Fuller,NOR,TAM,2017-12-31,2017,17,Injured Reserve,Undisclosed,,
