Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Mark Ingram,NOR,LAR,2016-11-27,2016,12,Questionable,concussion,,
Mark Ingram,NOR,DET,2016-12-04,2016,13,Questionable,toe,,
Mark Ingram,NOR,TAM,2016-12-11,2016,14,Questionable,"toe, knee",,
Mark Ingram,NOR,ATL,2017-12-07,2017,14,Questionable,Toe,,
Mark Ingram,BAL,ARI,2019-09-15,2019,2,Questionable,Shoulder,,
Mark Ingram,BAL,PIT,2019-12-29,2019,17,Out,Calf,,
Mark Ingram,BAL,PIT,2020-11-01,2020,8,Doubtful,Ankle,,
Mark Ingram,BAL,IND,2020-11-08,2020,9,Doubtful,Ankle,,
Mark Ingram,BAL,NWE,2020-11-15,2020,10,Questionable,Ankle,,
Mark Ingram,BAL,PIT,2020-12-02,2020,12,C19,,,
Mark Ingram,BAL,DAL,2020-12-08,2020,13,C19,,,
Mark Ingram,BAL,CIN,2021-01-03,2020,17,Questionable,Illness,,
