Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Tom Compton,CHI,PIT,2017-09-24,2017,3,Questionable,Hip,,
Tom Compton,CHI,GNB,2017-11-12,2017,10,Questionable,Ankle,,
Tom Compton,CHI,DET,2017-11-19,2017,11,Questionable,Ankle,,
Tom Compton,CHI,PHI,2017-11-26,2017,12,Questionable,Ankle,,
Tom Compton,CHI,CLE,2017-12-24,2017,16,Questionable,Concussion,,
Tom Compton,MIN,NOR,2018-10-28,2018,8,Out,Knee,,
Tom Compton,MIN,DET,2018-11-04,2018,9,Out,Knee,,
Tom Compton,MIN,CHI,2018-11-18,2018,11,Questionable,Knee,,
Tom Compton,MIN,CHI,2018-12-30,2018,17,Questionable,Shoulder,,
Tom Compton,NYJ,PIT,2019-12-22,2019,16,Doubtful,Calf,,
Tom Compton,NYJ,BUF,2019-12-29,2019,17,Injured Reserve,,,
Tom Compton,SFO,LAR,2020-11-29,2020,12,Out,Concussion,,
Tom Compton,SFO,WAS,2020-12-13,2020,14,Out,Concussion,,
Tom Compton,SFO,DAL,2020-12-20,2020,15,Injured Reserve,,,
Tom Compton,SFO,ARI,2020-12-26,2020,16,Injured Reserve,,,
Tom Compton,SFO,SEA,2021-01-03,2020,17,Injured Reserve,,,
