Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Karl Joseph,OAK,KAN,2016-12-08,2016,14,Out,toe,,
Karl Joseph,OAK,SDG,2016-12-18,2016,15,Out,toe,,
Karl Joseph,OAK,IND,2016-12-24,2016,16,Out,toe,,
Karl Joseph,OAK,DEN,2017-01-01,2016,17,Doubtful,toe,,
Karl Joseph,OAK,BUF,2017-10-29,2017,8,Doubtful,Groin,,
Karl Joseph,OAK,MIA,2017-11-05,2017,9,Questionable,Groin,,
Karl Joseph,OAK,CLE,2018-09-30,2018,4,Out,Hamstring,,
Karl Joseph,OAK,LAC,2018-10-07,2018,5,Out,Hamstring,,
Karl Joseph,OAK,SEA,2018-10-14,2018,6,Questionable,Hamstring,,
Karl Joseph,OAK,CIN,2019-11-17,2019,11,Injured Reserve,,,
Karl Joseph,OAK,NYJ,2019-11-24,2019,12,Injured Reserve,,,
Karl Joseph,OAK,KAN,2019-12-01,2019,13,Injured Reserve,,,
Karl Joseph,OAK,TEN,2019-12-08,2019,14,Injured Reserve,,,
Karl Joseph,OAK,JAX,2019-12-15,2019,15,Injured Reserve,,,
Karl Joseph,OAK,LAC,2019-12-22,2019,16,Injured Reserve,,,
Karl Joseph,OAK,DEN,2019-12-29,2019,17,Injured Reserve,,,
Karl Joseph,CLE,IND,2020-10-11,2020,5,Questionable,Hamstring,,
Karl Joseph,CLE,PIT,2020-10-18,2020,6,Out,Hamstring,,
Karl Joseph,CLE,CIN,2020-10-25,2020,7,Questionable,Hamstring,,
Karl Joseph,CLE,PIT,2021-01-03,2020,17,C19,,,
