Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Lawrence Thomas,NYJ,SEA,2016-10-02,2016,4,Injured Reserve,Shoulder,,
Lawrence Thomas,NYJ,PIT,2016-10-09,2016,5,Injured Reserve,Shoulder,,
Lawrence Thomas,NYJ,ARI,2016-10-17,2016,6,Injured Reserve,Shoulder,,
Lawrence Thomas,NYJ,BAL,2016-10-23,2016,7,Injured Reserve,Shoulder,,
Lawrence Thomas,NYJ,CLE,2016-10-30,2016,8,Injured Reserve,Shoulder,,
Lawrence Thomas,NYJ,MIA,2016-11-06,2016,9,Injured Reserve,Shoulder,,
Lawrence Thomas,NYJ,LAR,2016-11-13,2016,10,Injured Reserve,Shoulder,,
Lawrence Thomas,NYJ,NWE,2016-11-27,2016,12,Injured Reserve,Shoulder,,
Lawrence Thomas,NYJ,IND,2016-12-05,2016,13,Injured Reserve,Shoulder,,
Lawrence Thomas,NYJ,SFO,2016-12-11,2016,14,Injured Reserve,Shoulder,,
Lawrence Thomas,NYJ,MIA,2016-12-17,2016,15,Injured Reserve,Shoulder,,
Lawrence Thomas,NYJ,NWE,2016-12-24,2016,16,Injured Reserve,Shoulder,,
Lawrence Thomas,NYJ,BUF,2017-01-01,2016,17,Injured Reserve,Shoulder,,
Lawrence Thomas,NYJ,BUF,2017-11-02,2017,9,Out,Concussion,,
