Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Darqueze Dennard,CIN,NYJ,2016-09-11,2016,1,Doubtful,ankle,,
Darqueze Dennard,CIN,DEN,2016-09-25,2016,3,Questionable,hamstring,,
Darqueze Dennard,CIN,CLE,2017-11-26,2017,12,Questionable,Knee,,
Darqueze Dennard,CIN,CHI,2017-12-10,2017,14,Questionable,Knee,,
Darqueze Dennard,CIN,KAN,2018-10-21,2018,7,Out,Sternoclavicular,,
Darqueze Dennard,CIN,TAM,2018-10-28,2018,8,Out,Sternoclavicular,,
Darqueze Dennard,CIN,NOR,2018-11-11,2018,10,Out,Sternoclavicular,,
Darqueze Dennard,CIN,SEA,2019-09-08,2019,1,Physically Unable to Perform,,,
Darqueze Dennard,CIN,SFO,2019-09-15,2019,2,Physically Unable to Perform,,,
Darqueze Dennard,CIN,BUF,2019-09-22,2019,3,Physically Unable to Perform,,,
Darqueze Dennard,CIN,PIT,2019-09-30,2019,4,Physically Unable to Perform,,,
Darqueze Dennard,CIN,ARI,2019-10-06,2019,5,Physically Unable to Perform,,,
Darqueze Dennard,CIN,BAL,2019-10-13,2019,6,Physically Unable to Perform,,,
Darqueze Dennard,CIN,JAX,2019-10-20,2019,7,Physically Unable to Perform,,,
Darqueze Dennard,CIN,LAR,2019-10-27,2019,8,Out,Hamstring,,
Darqueze Dennard,CIN,NWE,2019-12-15,2019,15,Questionable,Illness,,
Darqueze Dennard,ATL,GNB,2020-10-05,2020,4,Injured Reserve,,,
Darqueze Dennard,ATL,CAR,2020-10-11,2020,5,Injured Reserve,,,
Darqueze Dennard,ATL,MIN,2020-10-18,2020,6,Injured Reserve,,,
Darqueze Dennard,ATL,DET,2020-10-25,2020,7,Injured Reserve,,,
Darqueze Dennard,ATL,CAR,2020-10-29,2020,8,Injured Reserve,,,
Darqueze Dennard,ATL,DEN,2020-11-08,2020,9,Injured Reserve,,,
Darqueze Dennard,ATL,TAM,2020-12-20,2020,15,Out,Quadricep,,
Darqueze Dennard,ATL,KAN,2020-12-27,2020,16,Out,Quadricep,,
Darqueze Dennard,ATL,TAM,2021-01-03,2020,17,Out,Quadricep,,
