Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Dominique Alexander,CLE,BUF,2016-12-18,2016,15,Questionable,abdominal/groin,,
Dominique Alexander,CLE,SDG,2016-12-24,2016,16,Questionable,"abdominal, groin",,
Dominique Alexander,CLE,NYJ,2017-10-08,2017,5,Injured Reserve,Knee,,
Dominique Alexander,CLE,HOU,2017-10-15,2017,6,Injured Reserve,Knee,,
Dominique Alexander,CLE,TEN,2017-10-22,2017,7,Injured Reserve,Knee,,
Dominique Alexander,CLE,MIN,2017-10-29,2017,8,Injured Reserve,Knee,,
Dominique Alexander,CLE,DET,2017-11-12,2017,10,Injured Reserve,Knee,,
Dominique Alexander,CLE,JAX,2017-11-19,2017,11,Injured Reserve,Knee,,
Dominique Alexander,CLE,CIN,2017-11-26,2017,12,Injured Reserve,Knee,,
Dominique Alexander,CLE,LAC,2017-12-03,2017,13,Injured Reserve,Knee,,
Dominique Alexander,CLE,GNB,2017-12-10,2017,14,Injured Reserve,Knee,,
Dominique Alexander,CLE,BAL,2017-12-17,2017,15,Injured Reserve,Knee,,
Dominique Alexander,CLE,CHI,2017-12-24,2017,16,Injured Reserve,Knee,,
Dominique Alexander,CLE,PIT,2017-12-31,2017,17,Injured Reserve,Knee,,
