Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Ronald Darby,BUF,ARI,2016-09-25,2016,3,Questionable,hamstring,,
Ronald Darby,BUF,NWE,2016-10-02,2016,4,Questionable,hamstring,,
Ronald Darby,BUF,OAK,2016-12-04,2016,13,Out,concussion,,
Ronald Darby,PHI,KAN,2017-09-17,2017,2,Out,Ankle,,
Ronald Darby,PHI,NYG,2017-09-24,2017,3,Out,Ankle,,
Ronald Darby,PHI,LAC,2017-10-01,2017,4,Out,Ankle,,
Ronald Darby,PHI,ARI,2017-10-08,2017,5,Out,Ankle,,
Ronald Darby,PHI,CAR,2017-10-12,2017,6,Out,Ankle,,
Ronald Darby,PHI,WAS,2017-10-23,2017,7,Questionable,Ankle,,
Ronald Darby,PHI,SFO,2017-10-29,2017,8,Questionable,Ankle,,
Ronald Darby,PHI,DEN,2017-11-05,2017,9,Questionable,Ankle,,
Ronald Darby,PHI,NOR,2018-11-18,2018,11,Out,Knee,,
Ronald Darby,PHI,NYG,2018-11-25,2018,12,Injured Reserve,Knee,,
Ronald Darby,PHI,WAS,2018-12-03,2018,13,Injured Reserve,Knee,,
Ronald Darby,PHI,DAL,2018-12-09,2018,14,Injured Reserve,Knee,,
Ronald Darby,PHI,LAR,2018-12-16,2018,15,Injured Reserve,Knee,,
Ronald Darby,PHI,HOU,2018-12-23,2018,16,Injured Reserve,Knee,,
Ronald Darby,PHI,WAS,2018-12-30,2018,17,Injured Reserve,Knee,,
Ronald Darby,PHI,GNB,2019-09-26,2019,4,Out,Hamstring,,
Ronald Darby,PHI,NYJ,2019-10-06,2019,5,Out,Hamstring,,
Ronald Darby,PHI,MIN,2019-10-13,2019,6,Out,Hamstring,,
Ronald Darby,PHI,DAL,2019-10-20,2019,7,Questionable,Hamstring,,
Ronald Darby,PHI,WAS,2019-12-15,2019,15,Questionable,Hip Flexor,,
Ronald Darby,PHI,NYG,2019-12-29,2019,17,Injured Reserve,,,
