Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Kyle Fuller,CHI,HOU,2016-09-11,2016,1,Injured Reserve,Knee,,
Kyle Fuller,CHI,PHI,2016-09-19,2016,2,Injured Reserve,Knee,,
Kyle Fuller,CHI,DAL,2016-09-25,2016,3,Injured Reserve,Knee,,
Kyle Fuller,CHI,DET,2016-10-02,2016,4,Injured Reserve,Knee,,
Kyle Fuller,CHI,IND,2016-10-09,2016,5,Injured Reserve,Knee,,
Kyle Fuller,CHI,JAX,2016-10-16,2016,6,Injured Reserve,Knee,,
Kyle Fuller,CHI,GNB,2016-10-20,2016,7,Injured Reserve,Knee,,
Kyle Fuller,CHI,MIN,2016-10-31,2016,8,Injured Reserve,Knee,,
Kyle Fuller,CHI,TAM,2016-11-13,2016,10,Injured Reserve,Knee,,
Kyle Fuller,CHI,NYG,2016-11-20,2016,11,Injured Reserve,Knee,,
Kyle Fuller,CHI,TEN,2016-11-27,2016,12,Injured Reserve,Knee,,
Kyle Fuller,CHI,SFO,2016-12-04,2016,13,Injured Reserve,Knee,,
Kyle Fuller,CHI,DET,2016-12-11,2016,14,Injured Reserve,Knee,,
Kyle Fuller,CHI,GNB,2016-12-18,2016,15,Injured Reserve,Knee,,
Kyle Fuller,CHI,WAS,2016-12-24,2016,16,Injured Reserve,Knee,,
Kyle Fuller,CHI,MIN,2017-01-01,2016,17,Injured Reserve,Knee,,
Kyle Fuller,HOU,KAN,2017-10-08,2017,5,Out,Hamstring,,
Kyle Fuller,SEA,ARI,2020-11-19,2020,11,Questionable,Ankle,,
Kyle Fuller,SEA,PHI,2020-11-30,2020,12,Questionable,Ankle,,
Kyle Fuller,SEA,NYG,2020-12-06,2020,13,Questionable,Ankle,,
