Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Stefon Diggs,MIN,HOU,2016-10-09,2016,5,Doubtful,groin,,
Stefon Diggs,MIN,PHI,2016-10-23,2016,7,Questionable,groin,,
Stefon Diggs,MIN,DET,2016-11-24,2016,12,Questionable,knee,,
Stefon Diggs,MIN,DAL,2016-12-01,2016,13,Questionable,knee,,
Stefon Diggs,MIN,GNB,2016-12-24,2016,16,Questionable,Hip,,
Stefon Diggs,MIN,CHI,2017-01-01,2016,17,Doubtful,Hip,,
Stefon Diggs,MIN,GNB,2017-10-15,2017,6,Out,Groin,,
Stefon Diggs,MIN,BAL,2017-10-22,2017,7,Out,Groin,,
Stefon Diggs,MIN,CLE,2017-10-29,2017,8,Questionable,Groin,,
Stefon Diggs,MIN,DET,2018-11-04,2018,9,Questionable,Rib,,
Stefon Diggs,MIN,NWE,2018-12-02,2018,13,Questionable,Knee,,
Stefon Diggs,MIN,ATL,2019-09-08,2019,1,Questionable,Hamstring,,
