Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Greg Mancz,HOU,TEN,2017-10-01,2017,4,Out,Knee,,
Greg Mancz,HOU,KAN,2017-10-08,2017,5,Questionable,Knee,,
Greg Mancz,HOU,CLE,2017-10-15,2017,6,Questionable,Knee,,
Greg Mancz,HOU,ARI,2017-11-19,2017,11,Questionable,Knee,,
Greg Mancz,HOU,BAL,2017-11-27,2017,12,Out,Shoulder,,
Greg Mancz,HOU,NOR,2019-09-09,2019,1,Questionable,Ankle,,
Greg Mancz,HOU,JAX,2019-09-15,2019,2,Questionable,Ankle,,
Greg Mancz,HOU,ATL,2019-10-06,2019,5,Out,Concussion,,
Greg Mancz,HOU,KAN,2019-10-13,2019,6,Out,Concussion,,
Greg Mancz,HOU,IND,2019-10-20,2019,7,Out,Concussion,,
Greg Mancz,HOU,OAK,2019-10-27,2019,8,Out,Concussion,,
Greg Mancz,HOU,JAX,2019-11-03,2019,9,Out,Concussion,,
