Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Michael Thomas,NOR,OAK,2016-09-11,2016,1,Questionable,ankle,,
Michael Thomas,NOR,TAM,2016-12-11,2016,14,Questionable,foot,,
Michael Thomas,MIA,CAR,2017-11-13,2017,10,Questionable,Knee,,
Michael Thomas,MIA,TAM,2017-11-19,2017,11,Questionable,Knee,,
Michael Thomas,MIA,DEN,2017-12-03,2017,13,Questionable,Knee,,
Michael Thomas,MIA,NWE,2017-12-11,2017,14,Questionable,Knee,,
Michael Thomas,MIA,BUF,2017-12-17,2017,15,Injured Reserve,Knee,,
Michael Thomas,MIA,KAN,2017-12-24,2017,16,Injured Reserve,Knee,,
Michael Thomas,MIA,BUF,2017-12-31,2017,17,Questionable,Not Injury Related,,
Michael Thomas,HOU,NWE,2020-11-22,2020,11,Injured Reserve,,,
Michael Thomas,HOU,DET,2020-11-26,2020,12,Injured Reserve,,,
Michael Thomas,HOU,IND,2020-12-06,2020,13,Injured Reserve,,,
Michael Thomas,HOU,CHI,2020-12-13,2020,14,Injured Reserve,,,
Michael Thomas,HOU,IND,2020-12-20,2020,15,Injured Reserve,,,
Michael Thomas,HOU,CIN,2020-12-27,2020,16,Injured Reserve,,,
Michael Thomas,HOU,TEN,2021-01-03,2020,17,Injured Reserve,,,
Michael Thomas,NOR,LVR,2020-09-21,2020,2,Out,Ankle,,
Michael Thomas,NOR,GNB,2020-09-27,2020,3,Out,Ankle,,
Michael Thomas,NOR,DET,2020-10-04,2020,4,Out,Ankle,,
Michael Thomas,NOR,LAC,2020-10-12,2020,5,Questionable,Ankle,,
Michael Thomas,NOR,CAR,2020-10-25,2020,7,Out,Ankle,,
Michael Thomas,NOR,CHI,2020-11-01,2020,8,Out,Ankle,,
Michael Thomas,NOR,TAM,2020-11-08,2020,9,Questionable,Ankle,,
Michael Thomas,NOR,KAN,2020-12-20,2020,15,Injured Reserve,,,
Michael Thomas,NOR,MIN,2020-12-25,2020,16,Injured Reserve,,,
Michael Thomas,NOR,CAR,2021-01-03,2020,17,Injured Reserve,,,
