Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Armani Watts,KAN,JAX,2018-10-07,2018,5,Questionable,Groin,,
Armani Watts,KAN,NWE,2018-10-14,2018,6,Injured Reserve,Groin,,
Armani Watts,KAN,CIN,2018-10-21,2018,7,Injured Reserve,Groin,,
Armani Watts,KAN,DEN,2018-10-28,2018,8,Injured Reserve,Groin,,
Armani Watts,KAN,CLE,2018-11-04,2018,9,Injured Reserve,Groin,,
Armani Watts,KAN,ARI,2018-11-11,2018,10,Injured Reserve,Groin,,
Armani Watts,KAN,LAR,2018-11-19,2018,11,Injured Reserve,Groin,,
Armani Watts,KAN,OAK,2018-12-02,2018,13,Injured Reserve,Groin,,
Armani Watts,KAN,BAL,2018-12-09,2018,14,Injured Reserve,Groin,,
Armani Watts,KAN,LAC,2018-12-13,2018,15,Injured Reserve,Groin,,
Armani Watts,KAN,SEA,2018-12-23,2018,16,Injured Reserve,Groin,,
Armani Watts,KAN,OAK,2018-12-30,2018,17,Injured Reserve,Groin,,
