Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jakeem Grant,MIA,NOR,2017-10-01,2017,4,Questionable,Ankle,,
Jakeem Grant,MIA,CAR,2017-11-13,2017,10,Questionable,Illness,,
Jakeem Grant,MIA,CHI,2018-10-14,2018,6,Questionable,Shoulder,,
Jakeem Grant,MIA,GNB,2018-11-11,2018,10,Questionable,Achilles,,
Jakeem Grant,MIA,IND,2018-11-25,2018,12,Injured Reserve,Achilles,,
Jakeem Grant,MIA,BUF,2018-12-02,2018,13,Injured Reserve,Achilles,,
Jakeem Grant,MIA,NWE,2018-12-09,2018,14,Injured Reserve,Achilles,,
Jakeem Grant,MIA,MIN,2018-12-16,2018,15,Injured Reserve,Achilles,,
Jakeem Grant,MIA,JAX,2018-12-23,2018,16,Injured Reserve,Achilles,,
Jakeem Grant,MIA,BUF,2018-12-30,2018,17,Injured Reserve,Achilles,,
Jakeem Grant,MIA,WAS,2019-10-13,2019,6,Questionable,Hamstring,,
Jakeem Grant,MIA,BUF,2019-10-20,2019,7,Questionable,Hamstring,,
Jakeem Grant,MIA,PHI,2019-12-01,2019,13,Injured Reserve,,,
Jakeem Grant,MIA,NYJ,2019-12-08,2019,14,Injured Reserve,,,
Jakeem Grant,MIA,NYG,2019-12-15,2019,15,Injured Reserve,,,
Jakeem Grant,MIA,CIN,2019-12-22,2019,16,Injured Reserve,,,
Jakeem Grant,MIA,NWE,2019-12-29,2019,17,Injured Reserve,,,
Jakeem Grant,MIA,SFO,2020-10-11,2020,5,Questionable,Illness,,
Jakeem Grant,MIA,NYJ,2020-11-29,2020,12,Questionable,Hamstring,,
Jakeem Grant,MIA,NWE,2020-12-20,2020,15,Questionable,Hamstring,,
Jakeem Grant,MIA,LVR,2020-12-26,2020,16,Questionable,Hamstring,,
Jakeem Grant,MIA,BUF,2021-01-03,2020,17,Questionable,Ankle,,
