Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Austin Howard,OAK,NOR,2016-09-11,2016,1,Out,ankle,,
Austin Howard,OAK,TEN,2016-09-25,2016,3,Out,ankle,,
Austin Howard,OAK,BAL,2016-10-02,2016,4,Out,ankle,,
Austin Howard,OAK,SDG,2016-10-09,2016,5,Questionable,ankle,,
Austin Howard,BAL,HOU,2017-11-27,2017,12,Questionable,Knee,,
Austin Howard,BAL,CIN,2017-12-31,2017,17,Questionable,Knee,,
Austin Howard,IND,CIN,2018-09-09,2018,1,Injured Reserve,Undisclosed,,
Austin Howard,IND,WAS,2018-09-16,2018,2,Injured Reserve,Undisclosed,,
Austin Howard,IND,PHI,2018-09-23,2018,3,Injured Reserve,Undisclosed,,
Austin Howard,IND,HOU,2018-09-30,2018,4,Injured Reserve,Undisclosed,,
Austin Howard,IND,NWE,2018-10-04,2018,5,Injured Reserve,Undisclosed,,
Austin Howard,IND,NYJ,2018-10-14,2018,6,Injured Reserve,Undisclosed,,
Austin Howard,IND,BUF,2018-10-21,2018,7,Injured Reserve,Undisclosed,,
Austin Howard,IND,OAK,2018-10-28,2018,8,Injured Reserve,Undisclosed,,
Austin Howard,IND,MIA,2018-11-25,2018,12,Injured Reserve,Undisclosed,,
Austin Howard,IND,JAX,2018-12-02,2018,13,Injured Reserve,Undisclosed,,
Austin Howard,IND,NYG,2018-12-23,2018,16,Injured Reserve,Undisclosed,,
Austin Howard,IND,TEN,2018-12-30,2018,17,Injured Reserve,Undisclosed,,
Austin Howard,WAS,TEN,2018-12-22,2018,16,Questionable,Hip,,
Austin Howard,WAS,PHI,2018-12-30,2018,17,Injured Reserve,Hip,,
